specimen_number,long_n25k,lat_n25k,replicate,elev_m_n
HSC201481,-123.080690054216,38.4129157945769,rep5,251.22
HSC201482,-123.08703909518,38.9285965089961,rep5,245.71
HSC201484,-123.534691953791,40.6599289108802,rep5,1150.87
HSC201485,-124.217068354151,41.0339262098716,rep5,0
HSC201486,-124.079502881452,40.9328405943499,rep5,54.5
HSC201487,-123.985597480993,41.0647567761597,rep5,441.35
HSC201488,-123.012808996168,39.1564030057015,rep5,695.06
HSC201489,-124.12712647132,41.3132340382682,rep5,0
HSC201492,-123.69471039966,40.8286531859468,rep5,1238.17
HSC201493,-123.562593347732,41.0177011068731,rep5,582.53
HSC201494,-123.636614766349,40.5814972591122,rep5,839.48
HSC201495,-123.551633599115,40.5319661202346,rep5,1077.42
HSC201497,-123.68431306924,40.7983921968048,rep5,1496.08
HSC201498,-124.153594766469,41.0516276989446,rep5,0
HSC201499,-124.355361082872,40.9847920188657,rep5,0
HSC201503,-123.658788776386,40.4275420744327,rep5,760.64
HSC201504,-124.192769724963,41.0706713828636,rep5,0
HSC201505,-123.75867007876,40.690378972837,rep5,1357.56
HSC201506,-123.70678389782,40.8526336166685,rep5,1165.56
HSC201507,-123.994326047053,40.9914742355666,rep5,393.5
HSC201509,-123.772510128435,40.7690917182902,rep5,1220.66
HSC201510,-122.901893053816,39.1829633789116,rep5,417.25
HSC201512,-122.534172236917,39.2741624692096,rep5,644.4
HSC201514,-122.855576607008,39.1167979943841,rep5,403.74
HSC201515,-123.40611178834,40.5717574337439,rep5,727.2
HSC201516,-123.620358778601,40.9136939111772,rep5,278.96
HSC201517,-120.291068315529,38.8435725535533,rep5,1904.6
HSC201518,-122.697289938442,39.2362197358166,rep5,1343.27
HSC201521,-123.787296474344,40.5268551980332,rep5,249.82
HSC201523,-122.554311600412,38.7572418494345,rep5,454.69
HSC201525,-122.642338829193,38.7835019593272,rep5,525.76
HSC201526,-123.319797967685,39.8355433034407,rep5,910.38
HSC201529,-122.607701950247,38.735151953113,rep5,433.34
HSC201530,-123.817030619057,41.1826509357117,rep5,919.9
HSC201531,-123.539734791944,40.8301705737081,rep5,864.16
HSC201532,-123.735400206207,40.8488934325224,rep5,1266.1
HSC201533,-120.474682977329,35.199211932014,rep5,288.69
HSC201535,-123.100985611098,39.6802355483762,rep5,453.24
HSC201537,-123.76019555302,40.3632558046388,rep5,819.48
HSC201539,-123.636199889241,39.0591262331343,rep5,379.67
HSC201540,-123.084552967725,38.7038651744965,rep5,176.75
HSC79847,-117.834737049077,34.2843055726211,rep5,1031.49
IRVC100599,-116.693135514258,33.8730331875638,rep5,1043.08
IRVC100600,-116.365007122097,34.0975725017533,rep5,1190.44
IRVC15781,-116.538069116324,34.1917902154103,rep5,1318.93
JEPS104716,-121.490384017582,37.7294887417135,rep5,29.45
JEPS110841,-122.353630118424,38.282267713024,rep5,110.64
JEPS110843,-122.387976696767,38.5029188214078,rep5,96.86
JEPS110844,-122.306892060352,38.5131953413371,rep5,303.51
JEPS110845,-122.552779532003,38.70186524163,rep5,432.89
JEPS110846,-122.383902246483,38.5387042676172,rep5,306.34
JEPS110847,-122.130101408813,38.2776782196359,rep5,122.91
JEPS110848,-122.442647603595,38.3688481504584,rep5,655.87
JEPS110862,-122.430598554805,38.3289752479807,rep5,336.65
JEPS111846,-122.21629287761,38.0712045255199,rep5,42.14
JEPS1487,-122.744731513089,37.8588690108817,rep5,0
JEPS1490,-118.487377257647,35.6884161869142,rep5,1222.38
JEPS1494,-121.902732913823,37.1899289652264,rep5,500.78
JEPS1495,-116.46812849611,33.4830554798419,rep5,1568.05
JEPS1497,-118.230742274789,34.1297157213995,rep5,164.09
JEPS1518,-118.153016365707,34.2840591538615,rep5,1555.45
JEPS1796,-119.612744806297,36.9663448448772,rep5,235.45
JEPS1797,-121.972456639372,38.4542841581845,rep5,56.28
JEPS1803,-115.680995312508,34.8646620203787,rep5,970.27
JEPS1805,-118.217164970238,34.2103130419637,rep5,443.62
JEPS18372,-117.247159441463,32.8490010022768,rep5,52.14
JEPS1879,-124.08128064321,41.8440302290197,rep5,252.54
JEPS1889,-116.904542152182,33.1385923139751,rep5,571.34
JEPS1913,-119.485639473362,36.7529091713123,rep5,127.32
JEPS21155,-120.804111626361,38.2324243492414,rep5,259.24
JEPS25353,-121.813920669178,37.7275021566637,rep5,245.82
JEPS2989,-122.104935219582,39.1764419815178,rep5,18.21
JEPS30298,-119.574085311066,36.9177754937519,rep5,222.66
JEPS3117,-120.119494836364,38.1815025894177,rep5,1088.02
JEPS3134,-118.903203633752,36.5034473994057,rep5,433.14
JEPS3135,-116.794339779588,33.7278497710105,rep5,901.14
JEPS3136,-122.089022489521,39.163148968433,rep5,17.3
JEPS35787,-122.427414519065,38.3699121384736,rep5,578.82
JEPS45200,-120.424749171838,37.6178036588172,rep5,129.79
JEPS83176,-121.641858825075,36.3566345810697,rep5,577.49
JEPS85033,-122.234518908343,38.3887812317039,rep5,372.48
