ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
SD00010601,1935,33.06883,-116.54613,-9999,15.4,24.1,8.5,15.6,513,51,49.4,473.1,26,3825,1619,644,320,85,329,244,2,-12.7,45,-9999,1466,1062,52
SD00010565,1960,32.91667,-116.56667,1250,13.6,22.5,6.9,15.7,675,53,35,427.6,41,3258,2044,436,301,105,317,212,7,-15.1,43,-9999,1315,896,55
SD00010461,1920,33.24254,-116.6653,-9999,14.9,23.7,8.2,15.5,493,54,50.5,442,28,3671,1710,575,299,104,317,213,3,-15.9,45.1,-9999,1481,1091,48
SD00010671,1918,34.2172,-118.1463,610,17.3,24.4,11.8,12.6,579,31,47.2,799.2,10,4442,1060,772,361,13,360,346,1,-2.7,43.9,-9999,1306,912,62
SD00010563,1963,32.8941,-116.43781,1800,12.2,21,5.4,15.6,734,70,30.3,299.4,61,2830,2409,304,290,113,312,199,14,-16.3,40.8,18.3,1210,802,59
SD00010472,1969,33.33027,-116.89894,1630,14.6,23.8,7.7,16.1,631,57,39.1,417.9,34,3595,1830,599,329,72,335,263,5,-11,42,18.7,1217,827,63
SD00010551,1969,32.98333,-116.6,1400,13.3,22.2,6.5,15.6,765,65,30.5,342.2,45,3168,2118,404,304,101,319,218,9,-15,42.1,-9999,1254,822,58
SD00010605,1967,32.98333,-116.60833,1524,13.1,21.9,6.3,15.6,812,67,28.4,325.6,48,3083,2186,378,307,97,321,224,10,-14.5,41.4,19,1206,780,60
SD00010673,1963,34.25,-117.3259,1524,13.3,22.3,5.9,16.4,916,57,25.4,394.9,51,3157,2164,421,308,95,323,228,14,-14.7,40.6,19.4,1170,770,62
SD00010566,1970,32.78736,-116.58513,970,14.6,23.2,8.2,15.1,527,39,46.7,600.1,28,3562,1765,517,309,100,322,222,3,-13.4,44.5,-9999,1429,1026,51
SD00010490,1941,33.3842,-118.3842,300,16.8,21.5,13.6,7.9,309,14,86.8,1527.4,7,4250,966,490,365,0,365,365,0,6,40.1,-9999,1022,756,75
SD00010564,1971,32.9,-116.65,960,15.5,24.1,9.1,15,521,38,49,641.1,22,3872,1545,632,329,74,335,262,2,-10.9,45.1,-9999,1425,1025,54
SD00010558,1971,32.9,-116.65,960,15.5,24.1,9.1,15,521,38,49,641.1,22,3872,1545,632,329,74,335,262,2,-10.9,45.1,-9999,1425,1025,54
SD00010469,1971,33,-116.83333,390,17.3,24.2,11.8,12.4,388,21,70.3,1179.2,10,4442,1049,753,346,43,347,305,0,-7.2,46.1,-9999,1535,1174,51
SD00010459,1971,32.91667,-116.46667,1590,13.1,21.9,6.1,15.9,690,65,33.5,337.7,51,3094,2197,390,294,110,314,204,9,-15.8,42.1,18.2,1287,871,56
SD00010672,1954,33.7503,-116.7152,1676,12.6,21.4,5.9,15.6,604,69,37.5,309.7,58,2959,2311,351,275,121,308,187,11,-18.6,41,-9999,1248,833,55
SD00010468,1935,32.71452,-116.83958,-9999,17.8,24.6,12.3,12.3,389,22,71.6,1096.7,9,4640,932,832,356,22,356,334,0,-4.9,45.4,-9999,1465,1098,56
SD00010549,1982,32.76409,-116.57253,1200,14.2,22.9,7.7,15.1,582,44,41.6,521.6,32,3432,1867,470,306,103,320,217,4,-13.6,43.9,-9999,1395,985,52
SD00010530,1979,32.77323,-116.43462,1340,12.9,21.6,6.4,15.2,576,52,39.7,414.2,47,3004,2217,338,278,129,305,176,7,-16.7,42.8,-9999,1357,953,51
SD00008034,1983,32.63057,-116.0937,1158,15.5,24.5,8.3,16.2,475,49,53.8,503,25,3894,1581,682,321,83,328,245,2,-11.3,45,-9999,1475,1088,52
SD00010470,1985,33.35759,-116.67206,1160,14.8,23.7,8,15.7,456,58,54.4,407.2,31,3637,1762,583,317,88,329,241,3,-13.2,43.9,-9999,1370,1014,55
SD00010617,1972,33.39303,-116.91633,1050,16.1,25.1,9.4,15.7,410,41,63.6,612.4,21,4077,1471,763,333,68,339,270,1,-10.4,44.8,-9999,1411,1065,56
SD00010471,1991,33.33144,-116.71249,930,15.2,24,8.5,15.5,445,51,56.6,468.6,26,3764,1651,615,306,99,322,223,2,-14.9,45.2,-9999,1480,1114,49
SD00010567,1971,33.45129,-117.39809,800,17,24.5,12.6,11.9,468,26,57.7,943.1,9,4340,1090,692,365,0,365,365,1,1.4,42.5,-9999,1059,753,74
SD00010618,1992,33.49225,-117.38606,640,17.4,24.5,13.2,11.4,439,25,62.4,985,8,4475,987,728,365,0,365,365,0,1.4,43.2,-9999,1150,840,70
SD00010546,1995,33.45,-116.95,610,17.6,25.9,11.3,14.7,361,28,76.4,910.7,12,4563,1107,920,347,42,349,307,1,-7.7,47.1,-9999,1552,1220,52
SD00010539,2002,32.87278,-116.7475,818,16.9,24.5,10.9,13.6,472,32,56.8,763.5,13,4305,1184,748,348,40,350,310,1,-6.9,45.8,-9999,1461,1061,55
SD00010531,2003,32.995,-116.53667,1441,13.5,22.4,6.5,15.9,718,65,32.7,343.7,45,3218,2097,433,307,97,321,224,8,-14.6,41.8,17.8,1252,835,59
SD00008033,2001,32.63482,-116.09537,1046,15.8,24.8,8.5,16.2,425,46,60.8,538.3,23,3996,1519,726,323,81,330,249,2,-10.9,45.4,-9999,1500,1133,51
SD00010473,2004,33.3167,-116.7353,1376,14.1,22.9,7.5,15.4,514,53,46.9,429.6,35,3412,1903,477,314,90,327,237,4,-13.6,42.9,16.4,1304,928,57
SD00010537,2004,32.873,-116.6255,1100,14.9,23.7,8.4,15.3,579,38,43.1,624.5,27,3674,1704,574,321,85,330,245,3,-12,44.7,-9999,1399,994,54
SD00010593,2004,32.8447,-116.4489,1562,11.9,20.7,5.2,15.5,670,63,32.7,330.2,65,2727,2497,275,266,131,300,169,14,-18.7,41.4,-9999,1269,856,54
SD00010535,2004,32.90417,-116.4725,1661,12.5,21.4,5.6,15.8,720,66,31.3,321.7,57,2925,2335,338,287,116,310,194,12,-16.7,41.5,18.8,1251,835,57
SD00010457,2004,32.87806,-116.80056,305,17.8,24.9,12.2,12.7,387,23,71.9,1097,9,4646,950,852,354,27,354,327,0,-5.5,46.4,-9999,1519,1152,53
SD00010533,2004,33.1022,-116.6607,940,15.5,24.1,9.1,15,575,49,44.4,493.3,22,3863,1560,635,329,75,336,261,2,-10.9,45,-9999,1420,1001,54
SD00010534,2003,32.63889,-116.34556,1123,14,22.5,7.7,14.8,464,46,51.8,494.5,31,3366,1892,427,291,121,311,189,3,-14.1,44.5,-9999,1472,1087,48
SD00010536,2004,33.07056,-116.60194,1290,14.2,23,7.6,15.4,711,64,34.1,357.4,34,3452,1878,497,324,79,332,253,5,-12,42.7,18,1271,847,60
SD00010532,2003,32.93194,-116.49333,1600,12.8,21.7,5.9,15.8,725,65,31.5,331.6,54,3012,2263,365,295,109,314,206,11,-15.9,41.4,19,1237,824,58
SD00010545,2003,32.66361,-116.22167,870,15.3,24,8.5,15.5,344,44,73.6,547,24,3811,1600,621,315,93,324,232,1,-11.9,45.4,-9999,1501,1172,50
SD00010655,2002,33.33556,-116.92194,1585,14.9,23.9,8,15.8,585,54,42.5,440.8,31,3664,1763,610,334,66,338,272,4,-10.2,42.4,-9999,1242,857,62
SD00010550,2004,32.94222,-116.57278,1387,13.1,22,6.2,15.7,741,61,31.2,358.7,48,3093,2187,385,296,108,314,206,10,-15.9,42.1,-9999,1261,837,57
SD00010548,2004,32.79583,-116.55,1236,13.9,22.6,7.5,15.1,614,45,39,499.8,35,3342,1940,441,303,107,319,211,5,-14.2,43.5,-9999,1374,960,53
SD00010660,2004,32.97222,-116.57167,451,15.6,24.7,8.6,16.1,382,46,67.2,533.9,24,3925,1575,705,303,103,318,215,2,-15.1,46.8,-9999,1556,1207,47
SD00010659,2005,33.0971,-116.6592,1060,15.1,23.7,8.7,15,607,54,41.4,438.9,25,3731,1652,585,329,74,336,262,3,-10.9,44.2,-9999,1368,948,56
SD00010658,2004,32.88917,-116.57667,329,16.6,25.7,9.9,15.8,303,14,87.8,1892.5,17,4251,1341,821,311,96,323,228,1,-13.6,48.9,-9999,1667,1370,44
SD00010657,2003,32.86417,-116.59389,329,17,25.9,10.4,15.5,264,12,102.2,2236.6,15,4367,1258,858,316,90,327,237,1,-12.8,49.2,-9999,1691,1428,43
SD00010656,2005,32.67861,-116.86,270,17.8,24.3,12.5,11.8,345,19,80.5,1284.6,8,4633,910,805,358,18,357,340,0,-4.2,44.7,-9999,1421,1082,57
SD00010511,2005,32.76889,-116.81278,265,18,24.8,12.5,12.3,361,20,77.6,1236.2,8,4696,905,857,356,23,356,333,0,-4.8,45.9,-9999,1496,1147,54
SD00010654,2005,32.814,-116.672,894,16,24.3,9.8,14.6,490,34,53,718.5,18,4019,1419,672,335,65,340,274,1,-9.7,45.7,-9999,1461,1067,53
SD00010600,2005,32.71417,-116.58694,980,15.1,23.6,8.7,15,465,38,54,627.5,24,3725,1637,568,311,97,323,226,2,-13.1,45.3,-9999,1482,1095,50
SD00010599,2005,32.91444,-116.45778,1660,12.9,21.8,5.9,15.8,712,67,32.2,326.2,52,3049,2232,375,294,110,314,204,10,-15.8,41.9,18,1272,856,57
SD00010596,2006,32.97389,-116.87111,338,17.5,24.3,12.2,12.1,382,21,72,1150.1,9,4524,995,779,349,37,349,312,0,-6.7,46.2,-9999,1537,1180,51
SD00010597,2006,32.79139,-116.75167,415,17.5,24.6,11.8,12.8,401,25,68.5,989.1,10,4529,1016,805,352,32,353,320,0,-5.9,45.9,-9999,1501,1126,54
SD00010598,2006,32.96528,-116.87167,337,17.5,24.4,12.2,12.2,383,22,72,1126.5,9,4534,991,785,350,36,350,314,0,-6.5,46.2,-9999,1532,1173,51
SD00010448,1997,33.1403,-116.5297,831,16.5,25.4,9.3,16.1,371,45,71.4,569.6,21,4214,1402,834,324,77,332,255,1,-12.1,46.5,-9999,1584,1241,49
SD00010458,2006,33.2299,-116.6437,980,14.8,23.6,8.2,15.4,501,56,49.6,417.9,28,3644,1728,565,305,100,321,221,3,-15,44.6,-9999,1446,1058,50
SD00010595,2005,33.0571,-117.0807,105,18,24.3,12.7,11.6,312,17,89.5,1454.4,8,4679,876,818,359,15,358,343,0,-4,44.5,-9999,1407,1096,58
SD00010653,2007,32.75472,-116.66222,635,16.2,24.4,10,14.3,422,28,62.2,883.6,16,4100,1346,690,328,73,334,261,1,-11.3,46,-9999,1519,1137,50
SD00010652,2006,32.918,-116.8808,460,17.6,24.5,12.1,12.4,402,23,68.6,1054.9,9,4555,985,800,353,28,353,325,0,-5.6,45.8,-9999,1487,1114,54
SD00010649,2006,33.3186,-116.8453,1693,14.1,23.2,7.4,15.8,719,62,33.5,375.5,38,3424,1941,518,329,70,336,266,6,-11.3,41.1,19.9,1150,755,65
