specimen_number,YoC,lat,long,elev_m,Tmax01_A,Tmax02_A,Tmax03_A,Tmax04_A,Tmax05_A,Tmax06_A,Tmax07_A,Tmax08_A,Tmax09_A,Tmax10_A,Tmax11_A,Tmax12_A,Tmin01_A,Tmin02_A,Tmin03_A,Tmin04_A,Tmin05_A,Tmin06_A,Tmin07_A,Tmin08_A,Tmin09_A,Tmin10_A,Tmin11_A,Tmin12_A,Tave01_A,Tave02_A,Tave03_A,Tave04_A,Tave05_A,Tave06_A,Tave07_A,Tave08_A,Tave09_A,Tave10_A,Tave11_A,Tave12_A,PPT01_A,PPT02_A,PPT03_A,PPT04_A,PPT05_A,PPT06_A,PPT07_A,PPT08_A,PPT09_A,PPT10_A,PPT11_A,PPT12_A,Tmax_wt_A,Tmax_sp_A,Tmax_sm_A,Tmax_at_A,Tmin_wt_A,Tmin_sp_A,Tmin_sm_A,Tmin_at_A,Tave_wt_A,Tave_sp_A,Tave_sm_A,Tave_at_A,PPT_wt_A,PPT_sp_A,PPT_sm_A,PPT_at_A,MAT_A,MWMT_A,MCMT_C,MAP_A,MSP_A
CAS-BOT-BC422397,2014,37.96388,-122.62416,344.58,5.51,0.46999999999999886,2.1630000000000003,1.6360000000000028,2.3979999999999997,1.1060000000000016,0.8130000000000024,0.006000000000000227,0.07500000000000284,2.2119999999999997,1.2119999999999997,1.4640000000000004,2.029,1.33,2.061,1.3630000000000004,1.5510000000000002,0.6189999999999998,2.202,1.9010000000000016,2.164999999999999,2.5700000000000003,2.1590000000000007,3.9540000000000006,3.7699999999999996,0.8970000000000002,2.168000000000001,1.4979999999999993,1.9750000000000014,0.8149999999999977,1.5040000000000013,1.0090000000000003,1.1670000000000016,2.3919999999999995,1.6340000000000003,2.7070000000000007,-267.65,144.01,21.330000000000013,67.45,-14.010000000000002,-7.970000000000001,2.27,2.19,18.619999999999997,-16.090000000000003,16.50999999999999,357.74,2.6189999999999998,2.134999999999998,0.6089999999999982,1.2330000000000005,0.7459999999999996,1.7220000000000004,1.5389999999999997,2.2600000000000016,1.6369999999999987,1.8819999999999997,1.0800000000000018,1.6990000000000016,-279.29999999999995,75.72000000000003,-3.719999999999999,19.160000000000025,1.795,0.9640000000000022,3.673,325.3499999999999,0.9399999999999977
CAS-BOT-BC95004,2006,35.981406,-121.235883,472,0.5339999999999989,2.396000000000001,-3.689000000000002,-2.8369999999999997,1.2689999999999984,1.8519999999999968,2.4499999999999957,-0.9749999999999943,-0.1839999999999975,-1.323999999999998,0.42299999999999827,0.4150000000000027,1.182,-0.3440000000000001,-1.3450000000000002,1.673,1.702,2.329999999999999,2.789999999999999,-0.13400000000000034,0.3250000000000002,0.03399999999999981,1.2600000000000002,0.756,0.8010000000000002,1.017999999999999,-2.517999999999999,-0.5410000000000004,1.5340000000000007,2.0869999999999997,2.681000000000001,-0.5509999999999984,0.11299999999999955,-0.641,0.8499999999999996,0.5429999999999993,3.930000000000007,-65.97,52.879999999999995,48.34,8.43,-1.18,0.28,0,-9.8,-11.66,-41.730000000000004,-42.989999999999995,1.2169999999999987,-1.7540000000000013,1.080999999999996,-0.33899999999999864,1.1709999999999998,0.6779999999999999,1.6000000000000014,0.5830000000000002,1.1989999999999998,-0.5410000000000004,1.3450000000000024,0.06900000000000084,-36.22000000000003,109.66999999999999,-1.0299999999999998,-63.22,0.41999999999999993,2.559000000000001,1.3049999999999997,-58.700000000000045,-1.370000000000001
CDA11943,1989,39.883333,-123.55,780.02,-0.2810000000000006,-2.327,-1.8149999999999995,2.323999999999998,-0.517000000000003,-0.0920000000000023,-1.0599999999999987,-1.439,-1.6980000000000004,-1.695999999999998,0.8490000000000002,2.2510000000000012,-0.8399999999999999,-1.9900000000000002,1.1689999999999996,1.9180000000000001,0.08300000000000018,0.5329999999999995,-0.44400000000000084,-0.2010000000000005,-0.04400000000000048,-0.702,-0.29600000000000026,-0.617,-0.5110000000000001,-2.1579999999999995,-0.37400000000000055,2.1159999999999997,-0.16799999999999926,0.277000000000001,-0.754999999999999,-0.7689999999999984,-0.9190000000000005,-1.1530000000000005,0.33399999999999963,0.8140000000000001,-241.74,-272.49,253.26,-22.92,-26.740000000000002,1.0399999999999991,-2.03,-2.6400000000000006,54.32,40.59,-174.5,-350.43,-0.9479999999999986,0.028000000000002245,-0.857999999999997,-0.8480000000000025,-1.119,1.025,-0.038000000000000256,-0.3520000000000003,-0.9870000000000001,0.5260000000000016,-0.4510000000000005,-0.5429999999999993,-523.5999999999999,202.63,-3.710000000000001,-79.56,-0.3160000000000007,-1.0779999999999994,0.04999999999999982,-744.3499999999999,23.870000000000005
CDA12056,1989,38.5,-122.4,250.71,0.6720000000000006,-1.690999999999999,-1.1409999999999982,2.253,-0.02500000000000213,-0.477999999999998,0.6710000000000029,-0.786999999999999,-2.161999999999999,-1.0999999999999979,1.7220000000000013,1.3550000000000004,-1.061,-2.224,1.476,2.1000000000000005,0.3670000000000009,0.9420000000000002,0.0470000000000006,0.07099999999999973,0.14800000000000146,-0.12400000000000055,-0.10899999999999999,-1.0590000000000002,-0.14300000000000068,-1.966000000000001,0.1689999999999987,2.2249999999999996,0.22100000000000009,0.23799999999999955,0.370000000000001,-0.4049999999999976,-1.001999999999999,-0.6580000000000013,0.761000000000001,0.1930000000000014,-156.37,-138.43,111.09,-31.240000000000002,-11.99,0.9299999999999997,-0.7,-0.16000000000000014,49.01,33.51,-55.269999999999996,-164.61,-0.017000000000001236,0.39699999999999847,-0.2010000000000005,-0.5130000000000017,-1.117,1.3120000000000003,0.35599999999999987,-0.0259999999999998,-0.5640000000000001,0.8999999999999986,0.03100000000000236,-0.26900000000000013,-300.86,67.88999999999999,0.019999999999999574,28.180000000000007,-0.026999999999999247,0.16600000000000037,0.39199999999999946,-363.17999999999995,37.94
CDA20118,2003,33.283333,-116.887778,834.32,6.203000000000001,-0.1869999999999994,1.2890000000000015,-2.213000000000001,0.5909999999999975,-1.3369999999999997,1.3079999999999998,1.5530000000000044,1.5940000000000012,3.603999999999999,-1.9979999999999976,0.32200000000000273,3.8569999999999998,1.3919999999999995,1.5589999999999997,-0.5129999999999999,1.2160000000000002,1.3970000000000002,2.375,2.2399999999999984,2.431000000000001,3.7279999999999998,0.40200000000000014,0.8109999999999999,5.029999999999999,0.5549999999999997,1.4740000000000002,-1.3659999999999997,0.9059999999999988,0.03200000000000003,1.8450000000000024,1.8469999999999978,1.9559999999999995,3.6099999999999994,-0.75,0.5739999999999998,-102.49,93.11,-5.180000000000007,21.96,-2.8299999999999983,-1.1100000000000003,1.5499999999999998,-2.630000000000001,-5.859999999999999,-18.14,-4.579999999999998,-49.84,1.7140000000000004,-0.11400000000000077,0.4720000000000013,1.0630000000000024,1.8310000000000004,0.7850000000000001,2.007999999999999,2.186,1.7219999999999995,0.33999999999999986,1.2399999999999984,1.5749999999999993,10.569999999999993,13.02000000000001,-2.219999999999999,-28.590000000000003,1.2650000000000006,1.4250000000000007,1.8539999999999992,-76.98000000000002,-11.89
CDA40358,1985,36.817974,-119.345817,174.87,-2.337999999999999,0.8039999999999985,-1.5939999999999976,3.0730000000000004,0.10900000000000176,2.287000000000006,0.16400000000000148,-0.8770000000000024,-4.141000000000002,-1.0299999999999976,-3.0660000000000025,-2.25,-0.403,-0.5779999999999998,-1.2109999999999999,2.154,0.34299999999999997,2.3070000000000004,1.8150000000000013,-0.3240000000000016,-0.49799999999999933,-0.34499999999999886,-0.5710000000000006,-0.4179999999999997,-1.367,0.06299999999999883,-1.3539999999999992,2.6160000000000014,0.23100000000000165,2.248000000000001,1.0430000000000028,-0.6080000000000005,-2.362000000000002,-0.6910000000000025,-1.8230000000000004,-1.287,-66.62,-48.150000000000006,-3.9599999999999937,-33.83,-11.63,-1.1399999999999997,-0.1499999999999999,0,6.59,1.0300000000000011,60.86,-30.22,-1.3290000000000006,0.5940000000000012,0.5230000000000032,-2.714000000000002,-0.2549999999999999,0.3929999999999998,1.2690000000000001,-0.4739999999999984,-0.7890000000000006,0.495000000000001,0.8930000000000007,-1.5949999999999989,-123.11000000000001,-48.44999999999999,-1.0899999999999999,68.37,-0.3200000000000003,0.8670000000000009,-0.7840000000000007,-126.99000000000001,-6.199999999999999
CDA40359,2005,40.87725,-123.757889,962.15,1.0649999999999995,1.8970000000000002,1.9580000000000002,-1.3529999999999998,-0.7330000000000005,-2.594999999999999,1.8930000000000007,1.439,-0.9420000000000002,-0.8969999999999985,-0.7099999999999991,0.5960000000000001,1.3199999999999998,1.467,1.8599999999999999,0.29499999999999993,1.7359999999999998,-0.06400000000000006,2.3130000000000006,1.963000000000001,-0.5460000000000012,-0.2320000000000002,0.6139999999999999,2.0829999999999997,1.1900000000000004,1.6840000000000002,1.9009999999999998,-0.5300000000000011,0.5039999999999996,-1.2799999999999976,2.099,1.7040000000000006,-0.7910000000000004,-0.5629999999999988,-0.045999999999999375,1.3370000000000006,-202.58999999999997,-294.91,37.44999999999999,111.15,132.01999999999998,47.74,-3.9400000000000004,-16.36,-56.29,-94.83000000000001,33.04000000000002,413.31,1.3229999999999986,-0.11599999999999966,0.27699999999999747,-0.815999999999999,1.425,1.294,1.404,-0.08699999999999974,1.3730000000000002,0.5919999999999987,0.8389999999999986,-0.40199999999999925,-366.3599999999999,280.65,27.510000000000005,-118.10000000000002,0.5719999999999992,1.6759999999999984,1.846,104.90000000000009,103.24000000000001
CDA40360,2011,34.354166,-119.05927,85.48,1.8079999999999998,-1.2280000000000015,-0.4440000000000026,-0.11200000000000188,-1.4790000000000028,-2.4209999999999994,-1.4100000000000001,-0.18400000000000105,-0.18700000000000117,0.4529999999999994,-1.9860000000000007,0.028999999999999915,1.8809999999999993,-1.431,0.7670000000000003,0.7850000000000001,-0.6499999999999986,-0.391,0.44899999999999984,0.6080000000000005,0.9160000000000004,1.315999999999999,0.09100000000000019,-0.9199999999999999,1.798,-1.3790000000000013,0.2110000000000003,0.38400000000000034,-1.0089999999999986,-1.4540000000000006,-0.4789999999999992,0.26099999999999923,0.36400000000000077,0.892000000000003,-0.9489999999999998,-0.495000000000001,-29.08,39.58,82.8,-23.41,12.719999999999999,1.78,0,0.4,-4.81,12.65,26.46,-23.879999999999995,0.03900000000000148,-0.679000000000002,-1.3079999999999998,-0.5680000000000014,0.7799999999999994,0.3049999999999997,0.2259999999999991,0.7420000000000009,0.40500000000000114,-0.1379999999999999,-0.593,0.13400000000000034,159.52999999999997,71.01,2.01,35.22,-0.14699999999999847,0.08800000000000097,0.5739999999999998,93.839999999999975,9.870000000000001
CHSC116923,2011,39.91,-122.128611,66,2.1479999999999997,-0.17499999999999893,-3.471000000000002,-1.5799999999999983,-4.0120000000000005,-2.8840000000000003,-1.9399999999999977,0.23899999999999721,3.5070000000000014,-0.4250000000000007,-1.9529999999999994,2.8680000000000003,1.1630000000000003,-0.6590000000000003,0.09600000000000009,-0.16699999999999982,-1.8420000000000005,0.28500000000000014,0.907,1.4339999999999993,2.9380000000000006,1.424999999999999,-0.49600000000000044,0.08300000000000018,1.6549999999999994,-0.4109999999999996,-1.6359999999999992,-0.8740000000000006,-2.8760000000000012,-1.3520000000000003,-0.514999999999997,0.8390000000000022,3.169999999999998,0.5040000000000013,-1.1760000000000002,1.4249999999999998,-41.31,22.260000000000005,121.52,-9.850000000000001,27.13,54.45,-0.72,-3.24,-6.26,50.36,3.1599999999999966,-71.98,0.18099999999999916,-3.0500000000000007,-1.5279999999999987,0.3730000000000011,0.9010000000000002,-0.6710000000000003,0.9049999999999994,1.2889999999999997,0.4930000000000003,-1.859,-0.3130000000000024,0.8350000000000009,34.69999999999999,138.86,50.5,48.230000000000004,-0.1130000000000031,-0.46999999999999886,2.188999999999999,146.51999999999998,71.47999999999999
CHSC116929,2011,39.610556,-121.561667,235,1.4540000000000006,-0.5600000000000005,-3.208,-1.75,-3.9250000000000007,-3.0229999999999997,-2.0489999999999995,-0.028000000000005798,2.862999999999996,-0.4989999999999988,-2.048,2.1189999999999998,1.3330000000000002,-0.7279999999999998,0.4119999999999999,-0.06899999999999995,-1.3819999999999997,0.3979999999999997,0.9860000000000007,1.4829999999999988,3.185999999999998,1.4609999999999985,-0.20399999999999974,0.2410000000000001,1.447,-0.6470000000000002,-1.4000000000000004,-0.9100000000000001,-2.709999999999999,-1.3170000000000002,-0.48600000000000065,0.6720000000000006,3.073999999999998,0.4289999999999985,-1.1280000000000001,1.2270000000000003,-72.22,60.50999999999999,235.32,-2.030000000000001,55.34,76.53999999999999,-1.13,-0.78,2.3000000000000007,89.35,-12.260000000000005,-126.16,-0.15799999999999947,-2.9289999999999985,-1.7369999999999983,0.0730000000000004,0.9540000000000002,-0.41500000000000004,0.9269999999999996,1.450000000000001,0.4510000000000005,-1.6669999999999998,-0.40800000000000125,0.7640000000000029,111.66999999999996,288.65999999999997,75.65,80.41,-0.11899999999999977,-0.48400000000000176,2.0119999999999996,306.86,133.26999999999998
