id,accessURI,thumbnailAccessURI,goodQualityAccessURI,Owner,providerManagedID,associatedSpecimenReference
3148026,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/23288a8e-f3d4-46f8-b777/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC56/content_1561135293_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC56/content_1561135293_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:3b462ec3-58dc-405f-9f39-6a3abe67ef25,http://cch2.org/portal/collections/individual/index.php?occid=3148026
3148042,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/ba8f05c1-2a30-4223-aad8/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC606/content_1560897122_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC606/content_1560897122_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:9a7f95be-6545-4d44-8b97-9e0dc39f0032,http://cch2.org/portal/collections/individual/index.php?occid=3148042
3148320,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/ce10cc21-4eab-427a-9f77/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC24/content_1561405963_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC24/content_1561405963_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:ae2b31d3-5472-4327-ba04-538bba7e0a8f,http://cch2.org/portal/collections/individual/index.php?occid=3148320
3148321,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/25da976b-8369-4737-81ef/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC797/content_1561005100_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC797/content_1561005100_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:b8e307ac-296e-4c2d-8848-ef31db7e94b8,http://cch2.org/portal/collections/individual/index.php?occid=3148321
3148469,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/9e7cc9f7-7ddd-4dd2-a497/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC111/content_1560266308_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC111/content_1560266308_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:98694e73-5756-4891-ac4f-14d4de9e6901,http://cch2.org/portal/collections/individual/index.php?occid=3148469
3148497,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/0cf412ce-9f73-4761-9d48/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC1375/content_1560450378_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC1375/content_1560450378_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:834169fc-d494-4e5f-8080-715a3699f450,http://cch2.org/portal/collections/individual/index.php?occid=3148497
3148507,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/f38aacea-520d-4483-93f6/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC1518/content_1560440026_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC1518/content_1560440026_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:1fe05a9d-47d9-46be-96ac-3f16afdb82f0,http://cch2.org/portal/collections/individual/index.php?occid=3148507
3148545,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/e5d7c505-da4e-4ca2-8115/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC24/content_1560382057_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC24/content_1560382057_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:25cfd432-05f6-4717-b95c-247aed8bb65f,http://cch2.org/portal/collections/individual/index.php?occid=3148545
3148557,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/bb10cb3f-392a-48e1-9bb3/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC284/content_1561652354_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC284/content_1561652354_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:ed0e9c6b-96c6-4522-95e2-74f55533fb31,http://cch2.org/portal/collections/individual/index.php?occid=3148557
3148622,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/f8d8f63a-d0a2-4dd1-ac03/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC67/content_1561051871_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC67/content_1561051871_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:fedea76d-9010-467d-b206-43197d3cea7b,http://cch2.org/portal/collections/individual/index.php?occid=3148622
3148880,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/8cc70b4b-5c7c-4bb2-9925/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC1069/content_1560384766_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC1069/content_1560384766_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:97cc169c-f933-490a-ad65-366867ed0cf0,http://cch2.org/portal/collections/individual/index.php?occid=3148880
3148996,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/f3e4b31a-12a4-4f3c-acda/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC1069/content_1561086977_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC1069/content_1561086977_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:9111ba37-e3ae-4866-96d2-86bb55694ee1,http://cch2.org/portal/collections/individual/index.php?occid=3148996
3149030,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/86a5e74e-23a5-45be-b364/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC1301/content_1560959849_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC1301/content_1560959849_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:aaacdf6f-237f-40f1-b514-819b1a31231c,http://cch2.org/portal/collections/individual/index.php?occid=3149030
3149043,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/6c323fb4-c7a9-4857-a618/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC1518/content_1560904341_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC1518/content_1560904341_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:258d51e2-4855-45ed-a20e-0e0f1272212b,http://cch2.org/portal/collections/individual/index.php?occid=3149043
