specimen_number,mean_PI,mean_buds,mean_flowers,mean_spent,mean_immature,mean_mature,flowers_present,fruit_present
HSC201520,3.232876712,10,8,27,11,17,y,y
HSC201521,2.2857142855,2,3,1.5,1.5,0.5,y,y
HSC201523,3.954312354333333,2,2.3333333333333335,4.333333333333333,4.333333333333333,13,y,y
HSC201525,2.296296296,10,7,3,6,1,y,y
HSC201526,2.647222222,4.5,4.5,1.5,4,0,y,y
HSC201527,3.515151515,1,9,3,12,8,y,y
HSC201528,3.636363636,1,1,1,6,2,y,y
HSC201529,2.1834750567142858,2.857142857142857,4.857142857142857,1,1.4285714285714286,0.42857142857142855,y,y
HSC201530,1.902777778,2.5,3,1,0,0,y,n
HSC201531,1.9030612244285714,1.5714285714285714,1.5714285714285714,0.2857142857142857,0.5714285714285714,0.14285714285714285,y,y
HSC201532,1.5585034012857142,3,1.8571428571428572,0.14285714285714285,0.42857142857142855,0,y,y
HSC201533,2.75,9,4,5,5,5,y,y
HSC201534,2.142857143,1.3333333333333333,1.3333333333333333,0.6666666666666666,1,0,y,y
HSC201535,2.4607843135,2,3,2.5,2.5,0,y,y
HSC201537,2.263888889,2.5,3,1.5,1.5,0,y,y
HSC201538,2.778989899,5.5,3.25,1,3.75,2.5,y,y
HSC201539,1.375,9.5,5,0.5,0,0,y,n
HSC201540,NA,NA,NA,NA,NA,NA,y,n
HSC201541,2.3293650793333334,1.1666666666666667,1.5,0,1,0,y,y
IRVC100599,2.5,2,2,2,2,0,y,y
IRVC100600,1.5777777776666666,3,0.6666666666666666,1,0.3333333333333333,0,y,y
JEPS104716,1.575,2.25,2.25,0.25,0,0,y,n
JEPS107354,2.285714286,3.5,3.5,1,2.5,0,y,y
JEPS110841,1.6662698411666668,2.1666666666666665,1.5,0,0.5,0,y,y
JEPS110843,2.1322843824,2.6,2.2,1.2,1.2,0.2,y,y
JEPS110844,2.8,1,1,1,2,0,y,y
JEPS110845,2.5115384615,3,3,1.5,4,0,y,y
JEPS110846,2.9,1.6666666666666667,1,0.6666666666666666,2,0.6666666666666666,y,y
JEPS110847,1.623015873,2.75,2,0.5,0.25,0,y,y
JEPS110848,2.3555555556,3,3.2,2,1.6,0.8,y,y
JEPS110862,2.05,0.8,1,0.4,0.2,0,y,y
JEPS111846,3,1,2,1,4,0,y,y
JEPS127095,NA,0,0,0.8571428571428571,0.14285714285714285,0.8571428571428571,n,y
JEPS1476,2.3373015870000002,6,5.666666666666667,2.6666666666666665,2.3333333333333335,1.3333333333333333,y,y
JEPS1477,2.29166666675,1.25,1,1,0.25,0.25,y,y
JEPS1478,2.09050324675,1.75,1.5,0.875,0.875,0.125,y,y
JEPS1480,1.323611111,2.5,1.0833333333333333,0,0,0,y,n
JEPS1481,2.1558441559999997,14.5,8,3,3,1.5,y,y
JEPS1486,1.684931507,37,27,4,5,0,y,y
JEPS1487,1.5714285712857143,1.2857142857142858,0.8571428571428571,0.14285714285714285,0,0,y,n
JEPS1488,3.0731707315000003,3.5,4,4,5,4.5,y,y
JEPS1490,1.5400432897499998,4,3,0.25,0.25,0,y,y
JEPS1491,3.185185185,2,6,6,11,2,y,y
JEPS1492,1.8592592593333335,3.3333333333333335,3.3333333333333335,1,0.6666666666666666,0,y,y
JEPS1493,4.258823529,0,1,17,26,41,y,y
JEPS1494,2.821428571333333,3.6666666666666665,4.333333333333333,1.6666666666666667,3.3333333333333335,1.3333333333333333,y,y
JEPS1495,2.38,3.8,2.4,1.2,2,1,y,y
JEPS1496,2.9537259615,12,15.5,7,10,13.5,y,y
JEPS1497,1.453854875142857,3.4285714285714284,1.4285714285714286,0.42857142857142855,0,0,y,n
JEPS1498,2.1666666666666665,1,1,1.1111111111111112,0.1111111111111111,0.1111111111111111,y,y
JEPS1517,2.9200111485,2.5,2.25,3,3,1.5,y,y
JEPS1518,NA,NA,NA,NA,NA,NA,y,y
JEPS1791,NA,NA,NA,NA,NA,NA,y,y
JEPS1793,1.3564373897777777,4.333333333333333,1.3333333333333333,0.1111111111111111,0,0,y,n
JEPS1794,2.141025641,2,3,1,1.5,0.5,y,y
JEPS1796,1.8561507936666666,3.1666666666666665,2.8333333333333335,1.1666666666666667,0.3333333333333333,0,y,y
JEPS1797,3.290322581,1.5,11,2,10,6.5,y,y
JEPS1803,3.3009259259999997,2.3333333333333335,1.6666666666666667,1.3333333333333333,2.3333333333333335,3,y,y
JEPS1804,2.7374772314999998,18.5,16.5,18,15,11,y,y
JEPS1805,2.016975308666667,8,4.666666666666667,3.3333333333333335,2.3333333333333335,0.6666666666666666,y,y
JEPS18372,2.4852941175,10,7.5,3,5.5,3.5,y,y
