ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
UC666595,1942,33.3436,-116.8804,1579,13.6,23.2,6.2,16.9,616,65,38.3,358.8,47,3274,2110,501,306,101,324,223,8,-15,40.3,19.6,1202,797,61
POM88484,1925,32.8772,-116.4459,1684,11.3,20.5,4.2,16.2,610,74,34.9,278.7,81,2552,2692,241,248,141,295,154,18,-21.1,39.8,19.6,1254,830,52
CHSC14017,1974,39.0117,-122.3667,359,16,26.3,7.3,19,508,24,51.3,1094.6,31,4078,1604,879,327,74,334,260,4,-12.4,44.1,-9999,1368,1070,54
CHSC24140,1976,38.9425,-122.7922,561,14.7,24.1,7,17.1,1022,40,24.2,603.9,36,3598,1831,613,325,80,331,251,9,-12.4,42.7,-9999,1223,837,58
CHSC27541,1978,38.9425,-122.7922,561,14.7,24.1,7,17.1,1022,40,24.2,603.9,36,3598,1831,613,325,80,331,251,9,-12.4,42.7,-9999,1223,837,58
CHSC27799,1978,38.9425,-122.7922,561,14.7,24.1,7,17.1,1022,40,24.2,603.9,36,3598,1831,613,325,80,331,251,9,-12.4,42.7,-9999,1223,837,58
CHSC31306,1980,39.7164,-123.4894,506,12.3,19.6,6,13.6,1799,95,12.4,205.4,49,2760,2306,211,290,116,303,187,26,-16.5,40.3,-9999,1152,662,54
CHSC35982,1982,39.8994,-121.9169,94,16.4,26.4,7,19.4,588,47,44.8,561.8,30,4191,1525,920,330,65,330,265,4,-12.9,43.9,-9999,1334,986,55
CHSC36121,1980,39.0117,-122.3644,359,16,26.3,7.3,19,507,24,51.3,1092.2,31,4074,1604,876,328,73,334,261,4,-12.3,44,-9999,1366,1068,54
CHSC4065,1967,40.1631,-122.2564,98,16.6,27.1,7,20.1,573,47,46.4,571,30,4278,1508,992,330,65,328,263,4,-13.3,43.9,16.3,1328,988,55
CHSC55499,1991,40.4011,-121.9775,343,15.8,26.2,6.7,19.5,724,73,35.6,357.7,34,4013,1666,864,327,71,330,259,6,-13.6,44.1,-9999,1262,864,57
CHSC55712,1991,39.4803,-122.5,369,15.6,25.9,6.6,19.3,493,31,52,823.1,34,3938,1687,808,319,80,325,245,5,-15,42.8,15.7,1299,1001,55
CHSC61985,1993,34.3381,-118.8644,422,17,23.9,11.6,12.3,405,14,66.6,1684.6,11,4323,1100,691,359,18,359,342,1,-4.4,43.8,17,1357,1029,58
CHSC71117,1989,39.0558,-122.7814,422,14,23.3,6.3,17,765,33,31.4,700.3,42,3377,1975,507,295,109,307,198,9,-16.6,43.5,-9999,1320,956,50
CHSC88986,2000,39.8806,-121.8942,117,16.3,26.3,7,19.3,639,47,41.2,556.9,30,4183,1526,914,331,64,331,267,4,-12.8,43.8,-9999,1327,966,55
CHSC90100,1991,38.9431,-122.7933,561,14.7,24.1,7,17.1,1016,40,24.3,607,36,3593,1835,610,324,81,331,250,9,-12.5,42.8,-9999,1225,841,58
RSA29562,1941,33.2216,-116.6061,1001,14.2,23.2,7.2,16,440,62,55,371.3,34,3438,1900,504,291,116,316,200,3,-17.1,42.6,-9999,1429,1036,50
SD28484,1941,33.2216,-116.6061,1001,14.2,23.2,7.2,16,440,62,55,371.3,34,3438,1900,504,291,116,316,200,3,-17.1,42.6,-9999,1429,1036,50
SD38532,1935,33.0768,-116.5341,806,15.3,24.3,8.1,16.3,356,46,71.2,526.3,27,3828,1645,666,299,107,318,211,2,-16,44.7,-9999,1569,1223,46
CHSC77587,1999,39.7933,-122.5911,256,16.4,27.2,6.8,20.4,565,45,46.7,610.2,31,4204,1574,976,330,67,332,265,4,-13.7,43.2,-9999,1292,953,57
CHSC81274,2001,39.4911,-123.7897,13,11.5,13.8,8.7,5.1,911,58,23.6,237.9,27,2327,2421,29,343,44,337,293,5,-8.7,32.4,-9999,807,421,71
CHSC90532,1997,39.1625,-122.615,495,14.6,24.2,6.6,17.6,824,31,29.8,773.8,39,3577,1880,625,314,91,325,234,9,-14.3,42.7,-9999,1250,895,56
CHSC23125,1962,37.9964,-123.0061,79,11.9,13.4,9.3,4.2,707,31,31,430.6,21,2455,2270,28,354,18,352,334,3,-6.2,31.1,-9999,754,413,75
CHSC26430,1977,41.7283,-123.8922,335,11.6,19.1,5.1,14,2325,211,9.3,90.9,60,2559,2513,176,296,113,310,197,44,-16.5,38,-9999,1014,472,60
CHSC27517,1978,38.9425,-122.7922,561,14.7,24.1,7,17.1,1022,40,24.2,603.9,36,3598,1831,613,325,80,331,251,9,-12.4,42.7,-9999,1223,837,58
RSA69060,1938,33.2776,-116.8555,726,15.7,24.4,8.6,15.8,524,44,49.1,553.4,23,3941,1539,690,318,89,329,240,2,-13.6,44.1,-9999,1476,1049,51
RSA75880,1930,33.2417,-116.7631,846,14.6,23.6,7.6,16,579,52,42.5,453.5,30,3580,1796,558,293,111,315,204,4,-16.9,43.7,-9999,1471,1025,48
SD114932,1979,32.7732,-116.4346,1430,11.8,20.7,5.2,15.5,539,61,40.4,340.8,64,2675,2531,261,249,146,293,147,11,-20.1,40.8,-9999,1323,903,50
SD136823,1992,33.4923,-117.3861,714,16.5,23.9,11.8,12.1,428,29,62,830.4,11,4165,1201,626,363,5,365,360,1,-2.3,42.1,-9999,1165,846,68
SD15061,1936,32.5436,-117.0831,55,16.8,21.6,12.8,8.8,246,15,108.9,1454.9,8,4241,1002,513,364,0,363,363,0,-1.9,39.2,-9999,1097,850,70
SD194157,2002,32.9503,-116.6064,1825,11.4,20.6,4.2,16.4,851,85,25.1,243,80,2585,2665,252,275,123,306,183,25,-18.8,38.7,18.7,1141,694,60
SD21001,1938,33.2776,-116.8555,726,15.7,24.4,8.6,15.8,524,44,49.1,553.4,23,3941,1539,690,318,89,329,240,2,-13.6,44.1,-9999,1476,1049,51
SD21381,1938,33.0782,-116.6175,1223,13.8,22.8,6.7,16,631,69,37.7,328.9,39,3307,2009,459,307,101,323,221,6,-14.9,41.7,-9999,1305,864,56
SD50076,1960,32.9167,-116.5667,1251,12.8,22,5.8,16.2,620,60,36.8,367.3,52,3009,2271,371,277,125,306,181,9,-18.4,41.5,-9999,1315,882,53
SD60451,1963,32.8941,-116.4378,1732,11.6,20.8,4.5,16.3,641,75,33.8,278.9,74,2656,2595,269,264,132,302,170,16,-19.5,39.7,19.1,1234,811,55
SD70890,1969,32.9833,-116.6,1696,11.7,20.9,4.5,16.4,808,80,26.9,260.9,72,2682,2573,279,278,121,307,186,20,-18.5,39.1,20.6,1165,719,59
SD72123,1967,32.9833,-116.6083,1646,11.9,21.1,4.7,16.3,797,80,27.5,264.8,68,2738,2517,293,283,118,309,191,18,-18,39.3,20.5,1171,727,59
SD85310,1971,32.9,-116.65,885,15,23.5,8.3,15.2,455,40,54.9,591.3,26,3681,1693,573,310,99,324,225,2,-14.4,43.9,-9999,1453,1050,51
SD85418,1971,32.9,-116.65,885,15,23.5,8.3,15.2,455,40,54.9,591.3,26,3681,1693,573,310,99,324,225,2,-14.4,43.9,-9999,1453,1050,51
UC1019585,1927,32.6688,-116.8244,248,17.1,23.9,11.5,12.4,322,22,84.1,1088.5,11,4371,1095,727,346,43,348,305,0,-9,44,-9999,1473,1155,53
UC1019607,1927,32.6851,-116.546,925,14.1,22.6,7.7,14.9,373,40,64.5,565.4,32,3387,1895,452,281,125,308,182,3,-16.7,43.6,-9999,1492,1137,46
UC1019608,1927,32.6688,-116.8244,248,17.1,23.9,11.5,12.4,322,22,84.1,1088.5,11,4371,1095,727,346,43,348,305,0,-9,44,-9999,1473,1155,53
CHSC38460,1983,39.7833,-121.7572,264,16.2,26,7.2,18.8,927,57,28.3,452.3,28,4140,1523,873,338,54,339,285,6,-11.8,43.4,16.3,1280,878,58
CHSC47108,1986,36.0942,-120.4406,335,15.9,25.5,7.6,17.9,205,12,126.4,2066.5,28,4013,1561,778,311,89,319,230,1,-15.5,43.6,-9999,1482,1277,49
CHSC52401,1983,38.9081,-122.7703,715,14.4,23.6,7,16.6,1237,46,19.7,509.3,37,3505,1880,564,328,74,335,261,12,-11.9,42,-9999,1167,762,61
SD85503,1971,33,-116.8333,421,16.4,23.4,10.9,12.6,373,25,70.9,922.7,13,4149,1246,646,332,68,337,269,1,-10.9,44.6,-9999,1533,1172,49
UC168372,1894,33.102,-116.579,1476,13.1,22.3,5.9,16.3,672,74,34.4,299,48,3116,2180,402,301,105,319,214,9,-15.9,40.5,19.6,1246,813,58
CAS-BOT-BC7219,1897,39.6058,-121.6833,57,16.3,26.1,7.1,19,624,38,42.1,690.7,29,4146,1520,874,331,63,330,267,4,-12.7,43.4,-9999,1336,978,55
UC618397,1937,36.5832,-120.8085,351,15.8,25,7.5,17.4,234,16,110.2,1570,28,3964,1569,736,314,85,324,239,1,-15.6,43.9,-9999,1468,1236,49
RSA113487,1955,36.2742,-121.5045,1100,13.4,21.4,7.3,14.2,788,34,29.7,637.2,38,3143,2033,351,325,85,333,248,8,-11.5,39.6,17.6,1157,813,61
HSC23559,1970,40.8581,-123.468,547,12.8,22,4.7,17.4,1211,91,18.8,241.9,63,3003,2302,388,285,122,307,185,26,-17.6,43,-9999,1220,784,53
HSC13597,1928,39.1758,-122.7293,675,14.3,23.9,6.5,17.4,1013,41,24,579,42,3482,1956,595,319,87,331,243,12,-13.1,41.7,-9999,1183,804,59
HSC35256,1975,39.0463,-123.0093,759,14,23,6.8,16.2,1030,41,23.3,566.4,40,3357,1981,502,324,83,333,251,11,-11.8,41.7,-9999,1157,784,60
HSC37202,1975,39.0416,-122.9822,487,14.4,23.7,6.7,16.9,854,34,28.6,694.3,38,3507,1889,568,311,97,322,225,9,-14.1,43.3,-9999,1293,925,53
HSC37991,1976,38.8732,-122.4213,665,14.6,24,6.7,17.3,677,32,36.3,746.7,38,3565,1858,597,324,77,332,255,7,-12.7,42.1,-9999,1237,904,58
JEPS85033,1969,38.3893,-122.2478,444,14.6,22.1,7.4,14.7,784,28,31.3,777.8,31,3523,1732,464,339,57,342,285,6,-10.3,40.9,17.3,1210,867,60
OBI3000,1968,38.953,-123.735,13,11,12.7,8.6,4.1,838,52,25,246.4,27,2141,2590,19,343,37,339,302,5,-9.3,30.8,-9999,721,347,75
RSA523514,1990,33.5363,-116.9537,664,16.9,25.1,10.5,14.7,351,34,76.6,746.8,14,4339,1240,819,339,60,343,284,1,-10,45.5,-9999,1546,1216,50
UC131446,1903,37.6874,-122.4355,309,13.2,16.1,9.5,6.6,719,29,32.3,553.7,19,2944,1876,85,358,14,357,344,2,-5.3,34.5,-9999,883,541,72
UCD120083,1977,39.5007,-123.7893,2,11.4,13.7,8.7,5.1,884,57,24.3,243.1,27,2319,2428,28,343,43,338,294,5,-8.6,32.4,-9999,802,419,71
POM179734,1903,38.5152,-123.2439,55,12.3,15.1,8.8,6.3,877,44,25.4,341.1,24,2615,2171,50,342,50,340,290,4,-8.9,34.2,-9999,914,514,67
SBBG133171,2009,34.422,-119.794,25,14.8,18.4,11.2,7.2,360,13,68.9,1404.7,12,3502,1428,194,353,25,352,328,1,-6.7,37.3,-9999,1111,797,64
RSA12926,1935,33.5963,-117.4647,545,17.1,24.6,12.1,12.4,408,28,66.5,886.4,10,4383,1087,733,362,9,365,356,0,-2.6,43.6,-9999,1274,940,64
RSA252917,1973,34.4518,-117.765,1296,14,24.4,5.6,18.7,221,38,108.6,645.4,51,3431,2074,609,286,112,314,202,3,-18.2,42,17.4,1348,1126,53
RSA421373,1944,34.498,-119.241,1230,14.5,22.8,8.1,14.7,592,23,41.3,1009.7,29,3496,1776,463,325,78,334,255,4,-12,43.5,16.1,1266,909,58
RSA584043,1992,34.2203,-117.7164,1255,14.1,23.2,7.2,16,729,43,33,535.9,36,3394,1936,494,321,86,332,246,7,-13,40.2,-9999,1208,819,61
SD215562,1967,34.3631,-118.5054,426,17,24.3,11,13.3,415,16,65,1491.2,12,4335,1141,741,352,33,352,319,1,-7,44.6,-9999,1421,1087,55
UC1375274,1971,34.2023,-117.4873,1376,13.7,22.6,6.8,15.9,922,57,25.7,398.2,41,3266,2037,444,313,95,328,233,10,-14,40.2,-9999,1207,796,60
POM320434,1971,39.0043,-122.7619,438,14,23.4,6.3,17.2,788,32,30.5,731.3,43,3386,1983,520,301,105,312,208,10,-15.9,43.1,-9999,1280,920,53
RSA10775,1928,39.1664,-122.7414,777,14.1,23.7,6.4,17.3,1078,43,22.3,550.8,45,3408,2012,568,319,86,332,246,14,-12.7,41.2,-9999,1147,765,61
RSA226234,1971,34.1711,-117.8285,813,16.2,23.6,10.5,13.1,574,38,45.7,628.4,15,4073,1320,639,352,33,355,322,1,-6.8,42.4,-9999,1295,891,60
RSA247113,1966,34.1956,-118.0223,741,16,24.3,9.5,14.8,700,37,37.2,652.1,19,4037,1421,692,343,52,346,294,2,-9.2,42.5,-9999,1303,888,60
RSA346564,1971,34.2065,-117.4551,767,16.1,24.4,9.8,14.6,707,45,36.9,538.7,18,4060,1401,700,343,53,348,295,2,-8.7,43.2,-9999,1364,941,57
RSA523374,1935,34.5848,-118.1886,885,15.5,26.1,6.8,19.3,219,17,116.2,1510.5,35,3905,1739,807,302,96,319,223,2,-17,44,17.3,1418,1199,52
RSA597821,1969,34.4994,-118.0613,1072,14.7,24.7,6.6,18.1,236,19,104.3,1307.7,38,3627,1870,652,305,96,322,225,2,-16.3,42.2,17.6,1323,1092,56
RSA747646,2009,34.9427,-119.3814,1106,14.1,23.5,6.5,17,225,16,107,1452.6,45,3420,1997,550,297,103,317,213,3,-16.5,43.7,-9999,1357,1133,53
