replicate,predictor,param_est,param_se,ci_.025,ci_.975,est_pval,adj.R2,param_vifs,sim_dist
3,MAT_100Y,-5.336545025118306,1.4615545625131974,-8.205877171755803,-2.467212878480808,2.79492334445175e-4,0.2832011121518927,2.4377909029389233,2km
3,MAP_100Y,7.9864758984661455,1.5160029492509313,5.01025037240497,10.96270142452732,1.8138250986489557e-7,0.2832011121518927,2.6228078716238716,2km
3,MAT_A,-2.144326111885843,0.9444379494352053,-3.9984520120226468,-0.29020021174903965,0.023467964025087287,0.2832011121518927,1.017919057325095,2km
3,MAP_A,1.5959717710542443,0.9436799012218533,-0.2566659245617977,3.4486094666702862,0.09121957918183263,0.2832011121518927,1.0162856582222572,2km
3,elev_m_n,8.329473060173315,1.5886851948905187,5.2105573402237475,11.448388780122883,2.0687659138375662e-7,0.2832011121518927,2.8803289049823344,2km
3,lat,-2.160265887672683,2.7110183618655057,-7.482552400500003,3.1620206251546374,0.42579812124196115,0.2832011121518927,8.38747626547272,2km
3,long,5.3064603869282845,3.0655133941157713,-0.7117727692524882,11.324693543109056,0.08386927236957507,0.2832011121518927,10.724395508722314,2km
4,MAT_100Y,-5.09349539508,1.4620420787139685,-7.963778168812906,-2.223212621347093,5.236282805619573e-4,0.28632236443705483,2.4555713891737847,2km
4,MAP_100Y,7.756740829385969,1.5127884487687715,4.786832720706549,10.72664893806539,3.760944610696901e-7,0.28632236443705483,2.6289917286305102,2km
4,MAT_A,-2.1521710362023327,0.9449867967396255,-4.0073702562361575,-0.29697181616850776,0.023045493094684,0.28632236443705483,1.02585103650832,2km
4,MAP_A,1.5299217036185075,0.9392430330818289,-0.3140013526691494,3.3738447599061647,0.10376581469135186,0.28632236443705483,1.0134183994189836,2km
4,elev_m_n,8.81278367766466,1.5897268630588497,5.691829981180143,11.933737374149178,4.13524787682537e-8,0.28632236443705483,2.903205956659571,2km
4,lat,-1.934827498948497,2.7010663363551877,-7.237564190883954,3.36790919298696,0.4740216961186129,0.28632236443705483,8.381144355158604,2km
4,long,5.172078765902745,3.055368473805294,-0.8262243099457587,11.170381841751247,0.0909209479512212,0.28632236443705483,10.724079049472111,2km
5,MAT_100Y,-5.5086774773978044,1.4708560096083423,-8.396270277345744,-2.6210846774498653,1.9437592270731043e-4,0.2790017123776726,2.4660918728772985,2km
5,MAP_100Y,8.000219613491634,1.514842193814472,5.02627288903913,10.974166337944137,1.693126688097564e-7,0.2790017123776726,2.615795088422415,2km
5,MAT_A,-1.797085935539914,0.9448723315146326,-3.6520646170209057,0.057892745941077406,0.05757138979834133,0.2790017123776726,1.017689273539252,2km
5,MAP_A,1.5513708663658856,0.9444071434316637,-0.30269455525130695,3.405436287983078,0.10087537721422933,0.2790017123776726,1.0166874442592895,2km
5,elev_m_n,8.025004600554537,1.6112433844721874,4.8618025158008225,11.188206685308252,7.910417093404466e-7,0.2790017123776726,2.959315220638238,2km
5,lat,-2.5779883675717206,2.7244303173934523,-7.926605307009618,2.7706285718661774,0.3443336256040913,0.2790017123776726,8.460973646063415,2km
5,long,5.02661929131564,3.122263136078466,-1.1030252778245941,11.156263860455875,0.10784408262166267,0.2790017123776726,11.112401804804403,2km
6,MAT_100Y,-5.498146625033478,1.467443860303162,-8.379027709244639,-2.6172655408223164,1.9317603016486592e-4,0.2841492259472099,2.472881691098249,2km
6,MAP_100Y,8.229458934185429,1.5023031053943583,5.280142291715595,11.178775576655262,5.915064820909389e-8,0.2841492259472099,2.591764148341931,2km
6,MAT_A,-2.827568854669277,0.9408923980658028,-4.674725795518695,-0.980411913819859,0.0027443535070892926,0.2841492259472099,1.0166237876523085,2km
6,MAP_A,1.9608128776333114,0.9416518942133935,0.11216489638070337,3.8094608588859193,0.03765930380486337,0.2841492259472099,1.0182657043761365,2km
6,elev_m_n,7.817723372167248,1.5869104063208155,4.702305947637625,10.933140796696872,1.0355089668486444e-6,0.2841492259472099,2.8919126049626067,2km
6,lat,-1.8194574029781345,2.6981251742717767,-7.11640809912788,3.4774932931716114,0.5003063465247741,0.2841492259472099,8.3599664813288,2km
6,long,6.124945322920988,3.0494446145352585,0.1382854274280909,12.111605218413885,0.044950778614255595,0.2841492259472099,10.67878512509216,2km
