specimen_number,long_n5k,lat_n5k,replicate,elev_m_n
RSA645309,-117.421103460921,33.6127830996048,rep1,684.5
RSA646981,-118.246066245703,34.2051206352084,rep1,418.25
RSA652199,-117.669812692104,34.1639368255935,rep1,769.35
RSA652200,-118.070407881136,34.2119375826545,rep1,1317.69
RSA656407,-117.45964016374,34.2160161037162,rep1,774.48
RSA660848,-118.110223814812,34.2964955551279,rep1,1223.53
RSA662611,-117.817670909292,34.16069250954,rep1,535.96
RSA66658,-117.698396857314,34.1889276602431,rep1,1585.56
RSA668058,-116.823883564222,33.3004197488673,rep1,1464.24
RSA673728,-116.699575505655,33.7186824295443,rep1,1667.8
RSA69060,-116.896298995355,33.2630707600313,rep1,634.19
RSA69363,-116.901467361818,33.3341051118145,rep1,1630.59
RSA699273,-117.566254070526,33.8179118832489,rep1,469.49
RSA721505,-117.670034213318,34.2076940482618,rep1,1129.51
RSA730888,-118.278180196923,35.4085938317834,rep1,2110.06
RSA747646,-119.373482590842,34.9371587711324,rep1,1160.4
RSA749469,-117.660753589995,33.768580872418,rep1,442.95
RSA75867,-118.096458235359,34.1985328903497,rep1,632.79
RSA75874,-116.944649196748,33.6143251453233,rep1,760.05
RSA75876,-123.101233864232,38.9795113186609,rep1,151.22
RSA75877,-122.517284185502,37.8054413765177,rep1,0
RSA75880,-116.758517159256,33.2413629954367,rep1,818.51
RSA75881,-117.122277906428,34.1659259146647,rep1,1031.93
RSA75883,-118.018809849214,34.3595495406971,rep1,1536.48
RSA75884,-118.467415030023,34.3573384865168,rep1,910.21
RSA771945,-117.848573397027,34.4672504659544,rep1,1117.99
RSA783108,-117.26930926026,33.9924657270363,rep1,606.48
RSA783266,-116.583056899821,33.5777189838844,rep1,1445.2
RSA783331,-117.670996175065,34.1624170301793,rep1,782.56
RSA785870,-117.780803832777,34.0582721488376,rep1,247.35
RSA785871,-117.220900324531,34.3012639921201,rep1,1519.4
RSA79215,-117.743743470806,34.129608071587,rep1,456.55
RSA79378,-123.523489050394,40.4482582113791,rep1,839.63
RSA798418,-121.269263013324,36.0649569312894,rep1,607.81
RSA81004,-116.388636049431,34.1477281767341,rep1,1092.59
SBBG110918,-121.132579959559,35.9165097280336,rep1,269.63
SBBG113301,-121.291398743309,36.0771532092849,rep1,457.94
SBBG114359,-118.855697612296,34.6995336531228,rep1,947.02
SBBG114372,-119.404220844268,34.8872421560554,rep1,1162.9
SBBG122441,-119.236393111939,34.4047574532206,rep1,758.77
SBBG122442,-118.764826489023,34.4752433580264,rep1,348.64
SBBG122480,-118.874906523465,34.4493256375708,rep1,705.37
SBBG124298,-118.881951742209,34.7300930668717,rep1,1186.28
SBBG125441,-118.036165949907,34.2749276551577,rep1,1370.16
SBBG127047,-118.060148836614,34.2844101533229,rep1,1504.39
SBBG133171,-119.805876107188,34.4283900692771,rep1,10.51
SBBG15862,-118.197532238353,34.1010641699952,rep1,160.03
SBBG164498,-121.569451532047,36.3122406468584,rep1,1515.79
SBBG164500,-120.336643661437,34.6295745197677,rep1,223.75
SBBG164505,-119.436753277076,35.0015462017426,rep1,689.67
SBBG164507,-118.527032542619,35.1961966673286,rep1,927.68
SBBG164508,-118.594163390437,35.4144396198793,rep1,1597.62
SBBG164509,-120.609751367919,35.3053008629402,rep1,358.91
SBBG164510,-119.594959729559,37.2944662432248,rep1,944.52
SBBG164512,-120.761889107988,36.5672616332705,rep1,392.13
SBBG164515,-120.476591896688,35.0103940315327,rep1,100.54
SBBG164516,-119.964817763566,35.3003576655549,rep1,591.78
SBBG164517,-120.137630467842,35.574711761022,rep1,604.21
SBBG164522,-120.116201606467,34.808896483366,rep1,707.04
SBBG164525,-120.185088116209,34.4627237873203,rep1,0
SBBG164526,-119.678392488264,34.4582530368051,rep1,307.68
SBBG164527,-120.206770484859,34.9362179485856,rep1,359.44
SBBG164529,-118.881497812816,34.5807817943655,rep1,1014.75
SBBG17321,-119.572095338467,34.5099473923693,rep1,625.29
SBBG23031,-119.980704659439,34.7793437051792,rep1,705.43
SBBG27701,-117.208220942496,34.2691990338677,rep1,1655.36
SBBG48273,-119.711967831862,34.4573348204778,rep1,257.65
SBBG64777,-119.21072525041,34.4969350749804,rep1,865.05
SBBG64792,-120.032854835288,34.7558657029958,rep1,620.85
SBBG64807,-119.766569318707,34.4941271687073,rep1,660.33
SBBG82088,-119.971239644396,35.4459172192832,rep1,900.82
SBBG82157,-120.051073755147,34.7539879933836,rep1,584.24
SBBG82159,-119.412568269665,34.3990009706645,rep1,378.23
SBBG82202,-119.914846343947,34.692040864795,rep1,851.99
SBBG82204,-119.641561246331,34.794735723901,rep1,1384.38
SBBG82469,-120.295589101284,34.6514986846094,rep1,232.13
SD00008033,-116.120921851784,32.6410166034967,rep1,997.28
SD00008034,-116.11138521382,32.6245220697361,rep1,1053.58
SD00010429,-123.088245572579,38.3862215871873,rep1,0.18
SD00010457,-116.816220879267,32.8815998159824,rep1,229.54
SD00010459,-116.476563560748,32.9317212981861,rep1,1407.89
SD00010464,-116.595211404102,33.2266655006625,rep1,1025.89
SD00010465,-116.558551860574,33.1002155820213,rep1,1066.09
SD00010467,-116.490319118637,33.2449205464282,rep1,1513.19
SD00010469,-116.842630850878,33.0107854857925,rep1,531.92
SD00010470,-116.672975470593,33.3542622269197,rep1,1186.38
