ID1,ID2,lat,long,el
HSC201498,rep1,41.06007861,-123.8539575,273.65
HSC201499,rep1,40.88432454,-123.9540721,162.41
HSC201503,rep1,40.55799969,-123.6955739,1214.8
HSC201504,rep1,41.02808818,-124.4312611,0
HSC201505,rep1,40.78539711,-123.5502019,362.41
HSC201506,rep1,40.8058059,-123.775932,927.64
HSC201507,rep1,41.120777,-124.0183032,412.07
HSC201509,rep1,40.93429154,-123.7731431,890.2
HSC201510,rep1,39.14941785,-123.1983701,183.95
HSC201512,rep1,39.09820504,-122.5914892,742.97
HSC201514,rep1,39.21290308,-122.9877066,512.25
HSC201515,rep1,40.77316774,-123.3047675,493.91
HSC201516,rep1,40.79489539,-123.3139676,795.75
HSC201517,rep1,38.69668079,-120.5564589,1160.17
HSC201518,rep1,39.00840546,-122.60758,501.4
HSC201521,rep1,40.23748338,-123.5529172,666.07
HSC201523,rep1,38.80263536,-122.5623876,297.68
HSC201525,rep1,38.64855203,-122.8401162,110.79
HSC201526,rep1,39.84833233,-123.2524148,594.03
HSC201529,rep1,38.95260696,-122.6695158,403.74
HSC201530,rep1,41.1378182,-123.7391994,797.8
HSC201531,rep1,40.88163646,-123.6563309,715.56
HSC201532,rep1,40.78726855,-123.5198618,1080.66
HSC201533,rep1,35.17010971,-120.628607,33.09
HSC201535,rep1,39.59997474,-122.9404242,1854.44
HSC201537,rep1,40.49416881,-123.509178,1298.03
HSC201540,rep1,38.89645852,-123.197121,312.96
HSC79847,rep1,34.2840794,-117.8517856,1025.38
IRVC100599,rep1,33.95547086,-116.5213773,320.84
IRVC100600,rep1,34.26729017,-116.3833665,936.02
IRVC15781,rep1,34.08540024,-116.4182094,1168.91
JEPS104716,rep1,37.67251687,-121.5923008,513.33
JEPS110841,rep1,38.43070884,-122.1788457,414.56
JEPS110843,rep1,38.50817173,-122.6644334,429.51
JEPS110844,rep1,38.50045912,-122.3967248,244.54
JEPS110845,rep1,38.48772543,-122.4513245,66.04
JEPS110846,rep1,38.65694872,-122.3623883,391.73
JEPS110847,rep1,38.53738505,-122.4829189,81.54
JEPS110848,rep1,38.48160186,-122.5408581,559.84
JEPS110862,rep1,38.55309609,-122.4455312,340.61
JEPS111846,rep1,38.00591521,-122.1954084,130.21
JEPS1487,rep1,37.91035481,-122.8675497,0
JEPS1490,rep1,35.68033126,-118.7554526,999.5
JEPS1494,rep1,37.1921777,-121.8603797,302.82
JEPS1495,rep1,33.54345949,-116.4840609,1868.86
JEPS1497,rep1,34.13549842,-118.0007058,141.29
JEPS1518,rep1,34.33986338,-118.0584585,1388.36
JEPS1796,rep1,36.95485819,-119.6484737,158.61
JEPS1797,rep1,38.44346351,-121.986076,65.89
JEPS1803,rep1,34.8312177,-115.752254,1538.56
JEPS1805,rep1,34.15372058,-118.1102175,252.54
JEPS18372,rep1,32.82472571,-117.2005485,103.48
JEPS1879,rep1,41.83072241,-123.9780058,537.18
JEPS1889,rep1,33.35177833,-116.6850826,1309.36
JEPS1913,rep1,36.56818043,-119.6043703,94.97
JEPS21155,rep1,38.54458103,-120.913025,297.89
JEPS25353,rep1,37.89848238,-121.6617952,15.23
JEPS2989,rep1,38.99366972,-122.1254452,105.32
JEPS30298,rep1,37.23804477,-119.4265349,1773.4
JEPS3117,rep1,38.20925685,-120.3615048,1019.84
JEPS3134,rep1,36.55794723,-119.0171592,474.59
JEPS3135,rep1,33.73926903,-116.4791232,538.07
JEPS3136,rep1,38.96137622,-121.7923905,8.45
JEPS35787,rep1,38.23958214,-122.6581791,54.77
JEPS45200,rep1,37.70768072,-120.4943266,111.39
JEPS83176,rep1,36.50302638,-121.6338868,603.91
JEPS85033,rep1,38.53672528,-122.1516414,348.65
JEPS94183,rep1,39.26743477,-122.707408,1408.58
JROH5546,rep1,37.3150945,-122.1192145,428.31
LOB115754,rep1,33.92383557,-116.6049846,400.83
LOB115763,rep1,33.63112459,-117.5451711,397.2
LOB115764,rep1,33.50415215,-117.4961175,371.94
LOB115765,rep1,33.77934707,-117.432711,592.5
OBI106017,rep1,33.95553813,-117.2822168,619.18
OBI106019,rep1,35.23771366,-120.6020426,131.57
OBI106022,rep1,35.16504245,-119.9226341,851.53
OBI106023,rep1,35.17107425,-119.7607159,589.83
OBI106025,rep1,35.64676471,-120.3098693,506.09
OBI106026,rep1,35.06708085,-120.4549007,242.37
OBI106031,rep1,34.79165153,-120.3578892,226.31
OBI106032,rep1,35.36082593,-120.5446239,362.7
OBI106034,rep1,38.15505466,-122.5918547,334
OBI106036,rep1,38.91177069,-123.521135,350.63
OBI106039,rep1,35.42428617,-120.6562733,438.9
OBI106041,rep1,35.87404668,-121.2170488,319.87
OBI106042,rep1,35.39628113,-120.4375183,530.22
OBI106043,rep1,35.62477934,-120.7644757,478.72
OBI106044,rep1,34.49640113,-119.8617132,788.26
OBI106047,rep1,35.19764848,-120.4470295,378.05
OBI106053,rep1,35.37670643,-120.9794175,0
OBI106058,rep1,32.61076609,-116.2946738,1116.14
OBI106060,rep1,34.63293294,-119.4429398,1522.93
OBI106061,rep1,35.46264194,-120.2788801,503.43
OBI106063,rep1,35.36129244,-120.1510279,547.63
PGM1097,rep1,36.08824035,-121.2740652,495.01
POM126452,rep1,32.71892655,-116.6132357,878.69
POM126470,rep1,33.94054795,-117.2379001,500.06
