ID1,ID2,lat,long,el
CHSC26430,1977,41.7283,-123.8922,335
CHSC27517,1978,38.9425,-122.7922,561
RSA69060,1938,33.2776,-116.8555,726
RSA75880,1930,33.2417,-116.7631,846
SD114932,1979,32.7732,-116.4346,1430
SD136823,1992,33.4923,-117.3861,714
SD15061,1936,32.5436,-117.0831,55
SD194157,2002,32.9503,-116.6064,1825
SD21001,1938,33.2776,-116.8555,726
SD21381,1938,33.0782,-116.6175,1223
SD50076,1960,32.9167,-116.5667,1251
SD60451,1963,32.8941,-116.4378,1732
SD70890,1969,32.9833,-116.6,1696
SD72123,1967,32.9833,-116.6083,1646
SD85310,1971,32.9,-116.65,885
SD85418,1971,32.9,-116.65,885
UC1019585,1927,32.6688,-116.8244,248
UC1019607,1927,32.6851,-116.546,925
UC1019608,1927,32.6688,-116.8244,248
CHSC38460,1983,39.7833,-121.7572,264
CHSC47108,1986,36.0942,-120.4406,335
CHSC52401,1983,38.9081,-122.7703,715
SD85503,1971,33,-116.8333,421
UC168372,1894,33.102,-116.579,1476
CAS-BOT-BC7219,1897,39.6058,-121.6833,57
UC618397,1937,36.5832,-120.8085,351
RSA113487,1955,36.2742,-121.5045,1100
HSC23559,1970,40.8581,-123.468,547
HSC13597,1928,39.1758,-122.7293,675
HSC35256,1975,39.0463,-123.0093,759
HSC37202,1975,39.0416,-122.9822,487
HSC37991,1976,38.8732,-122.4213,665
JEPS85033,1969,38.3893,-122.2478,444
OBI3000,1968,38.953,-123.735,13
RSA523514,1990,33.5363,-116.9537,664
UC131446,1903,37.6874,-122.4355,309
UCD120083,1977,39.5007,-123.7893,2
POM179734,1903,38.5152,-123.2439,55
SBBG133171,2009,34.422,-119.794,25
RSA12926,1935,33.5963,-117.4647,545
RSA252917,1973,34.4518,-117.765,1296
RSA421373,1944,34.498,-119.241,1230
RSA584043,1992,34.2203,-117.7164,1255
SD215562,1967,34.3631,-118.5054,426
UC1375274,1971,34.2023,-117.4873,1376
POM320434,1971,39.0043,-122.7619,438
RSA10775,1928,39.1664,-122.7414,777
RSA226234,1971,34.1711,-117.8285,813
RSA247113,1966,34.1956,-118.0223,741
RSA346564,1971,34.2065,-117.4551,767
RSA523374,1935,34.5848,-118.1886,885
RSA597821,1969,34.4994,-118.0613,1072
RSA747646,2009,34.9427,-119.3814,1106
SBBG127800,2003,34.5767,-118.8861,885
SBBG48273,1973,34.4293,-119.706,66
