coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
1372990,,,,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey) Voss",0,,,,,,,"original determination",urn:uuid:aaeb48fd-b7a1-4a07-b337-175ce4b4f532,"2018-12-21 16:49:08"
1372991,,,,,"Nemophila pedunculata Benth.",0,,,,,,,"original determination",urn:uuid:b6a3037d-0802-4b95-a203-2a80b3b2c495,"2018-12-21 16:49:08"
1372991,"F. Bowcutt & K. Mawdsley",,25-Apr-96,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey) Voss",0,,,,,,,,urn:uuid:fc7063c8-6b62-49be-b186-a0309bf10369,"2018-12-21 16:49:08"
1372992,,,,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey) Voss",0,,,,,,,"original determination",urn:uuid:b741e061-802d-4048-8e2f-b2dc8ffd219e,"2018-12-21 16:49:08"
1372993,,,,,"Nemophila menziesii Hook. & Arn. var. integrefolia Parish",0,,,,,,,"original determination",urn:uuid:77bc3a85-4e46-47bb-8853-15509368a997,"2018-12-21 16:49:08"
1372994,,,,,"Nemophila menziesii Hook. & Arn. var. integrefolia Parish",0,,,,,,,"original determination",urn:uuid:eec28cf4-44ed-4797-869a-7fb9d7846f3e,"2018-12-21 16:49:08"
1372995,"A. C. Sanders",,2001,,"Nemophila menziesii Hook. & Arn. var. integrefolia Parish",0,,,,,,,"original determination",urn:uuid:b5b9ed1a-856b-44b8-b1aa-9a4d51fab6a5,"2018-12-21 16:49:08"
1372996,,,,,"Nemophila menziesii Hook. & Arn. var. integrefolia Parish",0,,,,,,,"original determination",urn:uuid:d37f4409-db2c-42eb-b1ac-7e176c8c2c4c,"2018-12-21 16:49:08"
1372997,,,,,"Nemophila menziesii Hook. & Arn. var. integrefolia Parish",0,,,,,,,"original determination",urn:uuid:73ba20c5-49dc-4163-a340-a312a99a37db,"2018-12-21 16:49:08"
1372997,"Accord. to PLANTS Database",,2011,,"Nemophila menziesii Hook. & Arn. var. integrefolia Parish",0,,,,,,,,urn:uuid:27f2f17a-c039-45ac-b41a-038127bb4cbc,"2018-12-21 16:49:08"
1372998,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,"original determination",urn:uuid:3aed8110-1be1-4d70-af43-608124cc6c3a,"2018-12-21 16:49:08"
1372999,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,"original determination",urn:uuid:095187fc-c51b-4804-89a5-56fbda28dec0,"2018-12-21 16:49:08"
1373000,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,"original determination",urn:uuid:8ee75bbb-5047-485d-8567-31563731219b,"2018-12-21 16:49:08"
1373001,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,"original determination",urn:uuid:e6c1fcfa-1242-4a30-bcdd-88844f411c45,"2018-12-21 16:49:08"
1373002,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,"original determination",urn:uuid:6bdd510d-8b43-4c56-a227-d722b5e2481f,"2018-12-21 16:49:08"
1373003,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,"original determination",urn:uuid:d5de2415-a607-4726-884b-78860dad48cf,"2018-12-21 16:49:08"
1306702,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:6e348368-a38c-46e2-8249-94b23c4c150a,"2018-12-21 16:49:08"
1397330,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:35cf0a98-9490-4829-b9e8-440c95dde4a5,"2018-12-21 16:49:08"
1322837,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:5b7d408c-2164-4d81-a12c-a6eb86e9aef5,"2018-12-21 16:49:08"
1378925,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:4223ada6-3e9f-4181-aff9-62cf67d8d264,"2018-12-21 16:49:08"
1400962,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:e6f04755-f2dd-4cde-9ecb-8d186f95776c,"2018-12-21 16:49:08"
1310851,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,"original determination",urn:uuid:59db6387-f7ab-4a95-abda-3646112ce1cb,"2018-12-21 16:49:08"
1392515,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:2ced4d74-e17c-4fbb-b4f7-808ec0141b6d,"2018-12-21 16:49:08"
1299846,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:c909d5e4-f644-452f-b31b-3f548ceb8eb4,"2018-12-21 16:49:08"
1307535,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:51a9ed68-1abf-460a-a3e6-964f1d9f7c43,"2018-12-21 16:49:08"
1398684,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:6bc2a684-b806-4897-a813-bed7b629e334,"2018-12-21 16:49:08"
1304479,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:c0ba9b6f-b2f6-4ca0-ad98-a6495e5fd943,"2018-12-21 16:49:08"
1348771,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,,urn:uuid:3df50166-ecf2-4836-ab81-bb81416cb1c4,"2018-12-21 16:49:08"
1405860,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:9ba0e1a8-4d33-4a21-baf0-9ba2f6f47e67,"2018-12-21 16:49:08"
1301674,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,"original determination",urn:uuid:df40dacb-b746-4690-8438-f5f11db1b219,"2018-12-21 16:49:08"
1372842,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:52877477-59fa-41a5-845d-3d3eb1a8d1ba,"2018-12-21 16:49:08"
1372843,"L. Constance",,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:61e9d9d9-1bdf-475d-a2dc-d4c5fb25feed,"2018-12-21 16:49:08"
1372844,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:82da0ff7-0745-41e7-8551-be6daa8e81d6,"2018-12-21 16:49:08"
1372845,,,,,Nemophila,0,,,,,,,"original determination",urn:uuid:611474c5-ae50-466b-bdf9-3b64bf3a896c,"2018-12-21 16:49:08"
1372845,"L. Constance",,1945,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,,urn:uuid:2d18e487-ee8c-467f-a4d3-d0b85edf5a96,"2018-12-21 16:49:08"
1372846,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:2745045e-0084-4cf1-ab1c-bffc0c2c4763,"2018-12-21 16:49:08"
1335471,,,3/19/2009,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:e56e2b3e-123d-4300-bc97-bac572160110,"2018-12-21 16:49:08"
1372847,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:240c64a0-0724-436f-9a2f-7aa5de3ebb11,"2018-12-21 16:49:08"
1372848,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:a3c5c9e6-095f-483b-9cc5-74c6128462ee,"2018-12-21 16:49:08"
1372849,"L. Constance",,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:3860b0c7-4f89-429e-8655-469dd1a7b44b,"2018-12-21 16:49:08"
1372850,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:22f05fd9-01a9-43e0-b5dd-5bab88b635a7,"2018-12-21 16:49:08"
1372851,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:73fc2cf2-adf6-4da3-9056-05b9ee937b6d,"2018-12-21 16:49:08"
1372852,"L. Constance",,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:f938c83d-865d-496b-bc93-8d2a75e3a1e9,"2018-12-21 16:49:08"
1372853,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:787da4c4-2e05-45bd-96d1-65c05fd256e6,"2018-12-21 16:49:08"
